Zip Code,Latitude,Longitude
94102,37.779329,-122.41915
94103,37.772329,-122.41087
94107,37.766529,-122.39577
94108,37.792678,-122.40793
94109,37.792778,-122.42188
94110,37.74873,-122.41545
94112,37.720931,-122.44241
94114,37.758434,-122.43512
94115,37.786129,-122.43736
94116,37.743381,-122.48578
94117,37.770937,-122.44276
94118,37.782029-122.46158,-122.46158
94121,37.778729,-122.49265
94122,37.75838,-122.48478
94123,37.801028,-122.43836
94124,37.732797-122.39348,-122.39348
94127,37.734964,-122.4597
94131,37.741797,-122.4378
94132,37.724231,-122.47958
94133,37.801878,-122.41018
94134,37.719581,-122.41085
